isv_form,match_score,reconstructed_variants
brȯv,100.0,['brьvь']
sųp,100.0,['sǫpъ']
hlåd,100.0,['xoldъ']
gon,100.0,['gonъ']
bobr,100.0,['bobrъ']
prostrånstvo,100.0,['prostornьstvo']
hyba,100.0,['xyba']
gaz,100.0,['gazъ']
pijavica,100.0,['pijavica']
ničto,100.0,['ničьto']
vojevati,100.0,['vojevati']
vy-,100.0,['vy-']
mråvišče,100.0,['morvišče']
sråmiti,100.0,['sormiti']
poklon,100.0,['poklonъ']
prostiti,100.0,['prostiti']
kųsnųti,100.0,['kǫsnǫti']
diviti,100.0,['diviti']
čistina,100.0,['čistina']
vŕgnųti,100.0,['vьrgnǫti']
ukrajina,100.0,['ukrajina']
rěka,100.0,['rěka']
bask,100.0,['basъkъ']
brat,100.0,['bratъ']
črnica,100.0,['čьrnica']
mlåděti,100.0,['molděti']
čar,100.0,"['čarь', 'čarъ']"
čȯln,100.0,['čьlnъ']
minųti,100.0,['minǫti']
grob,100.0,['grobъ']
daviti,100.0,['daviti']
svariti,100.0,"['sъvariti', 'svariti']"
råzličati,100.0,['orzličati']
klěšč,100.0,['klěščь']
struja,100.0,['struja']
hybiti,100.0,['xybiti']
koža,100.0,['koža']
råzum,100.0,['orzumъ']
krěslo,100.0,['krěslo']
gněv,100.0,['gněvъ']
da,100.0,['da']
skubti,100.0,['skubti']
umirati,100.0,['umirati']
směti,100.0,['sъměti']
mȯlva,100.0,['mъlva']
brno,100.0,"['bъrno', 'brьno']"
měsęčina,100.0,['měsęčina']
vȯzbråniti,100.0,['vъzborniti']
klin,100.0,"['klinъ', 'kъlinъ']"
cěvka,100.0,['cěvъka']
šum,100.0,['šumъ']
jaščer,100.0,['jaščerъ']
liznųti,100.0,['liznǫti']
ręd,100.0,['rędъ']
skladati,100.0,['sъkladati']
biti,100.0,['biti']
dȯžď,100.0,['dъžďь']
skot,100.0,['skotъ']
lěčiti,100.0,['lěčiti']
jej,100.0,['jejь']
kovati,100.0,['kovati']
grom,100.0,['gromъ']
začętȯk,100.0,['začętъkъ']
žętva,100.0,['žętva']
šiška,100.0,['šišьka']
staja,100.0,['staja']
pŕst,100.0,"['pьrstь', 'pьrstъ']"
prųga,100.0,['prǫga']
drva,100.0,"['dъrva', 'dьrva', 'drъva']"
zvězda,100.0,['zvězda']
scati,100.0,['sьcati']
mokrota,100.0,['mokrota']
tknųti,100.0,['tъknǫti']
točiti,100.0,['točiti']
naklon,100.0,['naklonъ']
črtati,100.0,['čьrtati']
hrčati,100.0,['xъrčati']
zima,100.0,['zima']
postaviti,100.0,['postaviti']
žila,100.0,['žila']
mrdnųti,100.0,['mъrdnǫti']
krakati,100.0,['krakati']
opariti,100.0,['opariti']
vzęti,100.0,['vъzęti']
loza,100.0,['loza']
luk,100.0,['lukъ']
grn,100.0,['gъrnъ']
pųditi,100.0,['pǫditi']
trud,100.0,['trudъ']
opuhnųti,100.0,['opuxnǫti']
děvstvo,100.0,['děvьstvo']
neręd,100.0,['nerędъ']
měšati,100.0,['měšati']
běs,100.0,['běsъ']
desętka,100.0,['desętъka']
