reconstructed,isv_id,isv_form,match_score,N,is_best,etm_info,cognates
kovati,5401,kovati,100.0,5,True,"From Proto-Balto-Slavic *kauˀ-, from Proto-Indo-European *kowh₂-, from the root *kewh₂-. Cognate with Lithuanian káuti (“to hew, to beat, to murder”), Latvian kaût (“to fight”), Latin cūdere (“to forge, to beat, to grind”), Old Norse hǫggva (“to hew, to beat”), Old High German houwan (“to hew, to beat”), Old Irish cuad (“to beat, to fight”).

","{'Old East Slavic': ['ковати'], 'Belarusian': ['каваць'], 'Russian': ['ковать'], 'Ukrainian': ['кувати'], 'Old Novgorodian': ['ковати'], 'Cyrillic': ['ковати'], 'Glagolitic': ['ⰽⱁⰲⰰⱅⰹ'], 'Bulgarian': ['кова'], 'Macedonian': ['кове'], 'Latin': ['kòvati'], 'Chakavian (Vrgada)': ['kovȁti'], 'Chakavian (Orbanići)': ['kovãti'], 'Slovene': ['kováti', 'kúti (tonal orthography)'], 'Old Czech': ['kovati'], 'Czech': ['kout', 'kovat'], 'Old Polish': ['kować'], 'Polish': ['kuć', 'kować (dialectal)'], 'Slovak': ['kovať', 'kuť'], 'Slovincian': ['kʉɵvăc'], 'Upper Sorbian': ['kować'], 'Lower Sorbian': ['kowaś']}"
gorxъ,3210,gråh,100.0,5,True,"From Proto-Balto-Slavic *garšas. Cognate with Latvian gārša, Lithuanian garšvà, gar̃šas.

","{'Old East Slavic': ['горохъOld Ruthenian'], 'Old Novgorodian': ['горохъ'], 'Bulgarian': ['грах'], 'Macedonian': ['грав', 'грашок'], 'Cyrillic': ['грах', 'грашак'], 'Latin': ['grȁh', 'grášak'], 'Slovene': ['grȁh (tonal orthography)'], 'Old Czech': ['hrách'], 'Czech': ['hrách', 'hrášek'], 'Kashubian': ['groch'], 'Lower Sorbian': ['groch'], 'Polish': ['groch', 'groszek'], 'Polabian': ['gorx'], 'Slovak': ['hrach', 'hrášok']}"
koprъ,5290,kopr,100.0,4,True,"Probably from Proto-Indo-European *kwep- ~ *kʷap- (“to boil, to steam”) + *-rъ, cognate with Ancient Greek κύπειρον (kúpeiron), κύπερος (kúperos, “galingale”). Related to possibly Latin vapor.
The meaning of the Slavic term is likely aromatic one, attested also in Lithuanian kvapas (“aroma, odor”).

","{'Belarusian': ['кроп', 'dialectally копр'], 'Russian': ['укроп', 'dialectally копёр'], 'Ukrainian': ['кріп', 'окріп', 'копрій', 'dialectally копер'], 'Old Church Slavonic': ['копръ'], '→ Albanian': ['kopër'], '→ Hungarian': ['kapor'], 'Bulgarian': ['копър'], 'Macedonian': ['копар'], 'Cyrillic': ['копар'], 'Latin': ['kȍpar'], 'Slovene': ['koper'], 'Czech': ['kopr'], 'Polish': ['koper'], 'Slovak': ['kôpor'], 'Lower Sorbian': ['kopr', 'kopš'], 'Upper Sorbian': ['koprik']}"
bez,721,bez,100.0,4,True,"Continues Proto-Balto-Slavic *beź, from Proto-Indo-European *bʰe (“instrumental particle”) + Proto-Indo-European *-ǵʰs (“out”). Cognate with Lithuanian bè, Latvian bez, Old Prussian bhe, and likely Sanskrit बहिस् (bahís, “outside”). The first element is probably the same as that in Proto-Slavic *bo (“for”), Lithuanian bà (“really”), Ancient Greek φή (phḗ, “like, as”)[1], Avestan 𐬠𐬁‎ (bā, “indeed”).

","{'Old East Slavic': ['безъ'], 'Belarusian': ['без'], 'Russian': ['без'], 'Ukrainian': ['без'], 'Rusyn': ['без'], 'Old Cyrillic': ['без'], 'Glagolitic': ['ⰱⰵⰸ'], 'Bulgarian': ['без'], 'Macedonian': ['без'], 'Cyrillic': ['бѐз'], 'Latin': ['bèz'], 'Slovene': ['brez (tonal orthography)'], 'Old Czech': ['bez'], 'Czech': ['bez'], 'Bohemian (Chod dialect)': ['bez'], 'Kashubian': ['bez'], 'Old Polish': ['bez'], 'Polish': ['bez'], 'Slovak': ['bez'], 'Upper Sorbian': ['bjez'], 'Lower Sorbian': ['bźez']}"
bičь,853,bič,100.0,4,True,"Analysable as *bìti (“to beat”) +‎ *-čь.

","{'Old East Slavic': ['бичь'], 'Belarusian': ['біч'], 'Russian': ['бич'], 'Ukrainian': ['бич'], 'Old Cyrillic': ['бичь'], 'Glagolitic': ['ⰱⰻⱍⱐ'], 'Bulgarian': ['бич'], 'Macedonian': ['бич'], 'Cyrillic': ['бич'], 'Latin': ['bič'], 'Slovene': ['bìč'], 'Old Czech': ['bič'], 'Czech': ['bič'], 'Bohemian (Chod dialect)': ['bjič'], 'Kashubian': ['bicz'], 'Old Polish': ['bicz'], 'Polish': ['bicz'], 'Slovak': ['bič'], 'Upper Sorbian': ['bič'], 'Lower Sorbian': ['bic']}"
slina,13861,slina,100.0,4,True,"From Proto-Balto-Slavic *sleʔinaʔ, from Proto-Indo-European *sleh₁y-n-eh₂. Cognate with Latvian sliẽnas, Proto-Germanic *slīmą, Albanian llënjëz.

","{'Belarusian': ['сліна'], 'Russian': ['слюна'], 'Ukrainian': ['слина'], 'Old Cyrillic': ['слина'], 'Glagolitic': ['ⱄⰾⰻⱀⰰ'], 'Bulgarian': ['слюнка'], 'Cyrillic': ['слина'], 'Latin': ['slina'], 'Slovene': ['slína (tonal orthography)'], 'Old Czech': ['slina'], 'Czech': ['slina'], 'Bohemian (Chod dialect)': ['slina'], 'Polabian': ['slaină'], 'Old Polish': ['ślina'], 'Polish': ['ślina'], 'Slovak': ['slina'], 'Upper Sorbian': ['slina'], 'Lower Sorbian': ['slina']}"
xoditi,3470,hoditi,100.0,4,True,"From *xodъ (“motion, movement”), from Proto-Indo-European *sod-, from the root *sed- (“to sit”).
Indo-European cognates include Ancient Greek ὁδεύω (hodeúō, “to wander”).

","{'Old East Slavic': ['ходити (10th century)'], 'Old Ruthenian': ['ходитиBelarusian'], 'Russian': ['ходить', '1sg. хожу', '3sg. ходит'], 'Cyrillic': ['ходити', '1sg. ходӣм'], 'Glagolitic': ['ⱈⱁⰴⰻⱅⰻ'], 'Bulgarian': ['ходя'], 'Macedonian': ['оди'], 'Latin': ['hòditi', '1sg. hȍdīm'], 'Chakavian (Vrgada)': ['hoditi'], 'Chakavian (Orbanići)': ['hodit', '1sg. hȍdin'], 'Slovene': ['hóditi (tonal orthography)', '1sg. họdim (tonal orthography)'], 'Old Czech': ['choditi'], 'Czech': ['chodit'], 'Bohemian (Chod dialect)': ['chodit'], 'Kashubian': ['chòdzëc'], 'Polabian': ['x’üdĕt'], 'Old Polish': ['chodzić'], 'Polish': ['chodzić'], 'Slovak': ['chodiť'], 'Slovincian': ['χʉɵʒĕc'], 'Upper Sorbian': ['chodźić'], 'Lower Sorbian': ['chójźiś']}"
kopyto,5298,kopyto,100.0,4,True,"Possibly from Proto-Indo-European *ḱoph₂ós.

","{'Belarusian': ['капыта'], 'Russian': ['копыто'], 'Ukrainian': ['копито'], 'Bulgarian': ['копито'], 'Macedonian': ['копито'], 'Cyrillic': ['копито'], 'Latin': ['kopito'], 'Slovene': ['kopíto (tonal orthography)'], 'Old Czech': ['kopyto'], 'Czech': ['kopyto'], 'Polish': ['kopyto'], 'Slovak': ['kopyto']}"
morzъ,6910,mråz,100.0,4,True,"From Proto-Indo-European *mórǵ-o-. Cognate with Albanian mardhë f (“frost”).

","{'Old East Slavic': ['морозъ'], 'Belarusian': ['мароз'], 'Russian': ['мороз'], 'Rusyn': ['мороз'], 'Ukrainian': ['мороз', 'dial. мороз (in Uzhanian dialects and dialects of Slovakia)'], 'Cyrillic': ['мраз'], 'Bulgarian': ['мраз'], 'Macedonian': ['мраз'], 'Latin': ['mrȁz'], 'Slovene': ['mrȁz (tonal orthography)'], 'Old Czech': ['mráz'], 'Czech': ['mráz'], 'Kashubian': ['marz', 'môrz'], 'Polabian': ['morz'], 'Polish': ['mróz'], 'Lesser Polish (Więciórka)': ['mrȯs'], 'Slovak': ['mráz'], 'Upper Sorbian': ['mróz'], 'Lower Sorbian': ['mroz']}"
gněvъ,3062,gněv,100.0,4,True,"Probably from the o-grade of *gňiti +‎ *-vъ.

","{'Old East Slavic': ['гнѣвъ'], 'Belarusian': ['гнеў'], 'Russian': ['гнев'], 'Rusyn': ['гнїв'], 'Ukrainian': ['гнів'], 'Old Cyrillic': ['гнѣвъ'], 'Glagolitic': ['ⰳⱀⱑⰲⱏ'], 'Bulgarian': ['гняв'], 'Macedonian': ['гнев'], 'Cyrillic': ['гњев', 'гнив', 'гнев'], 'Latin': ['gnjȅv', 'gniv', 'gnȇv'], 'Slovene': ['gnẹv', 'gnȅv (tonal orthography)'], 'Old Czech': ['hněv'], 'Czech': ['hněv'], 'Polabian': ['gnevoi'], 'Polish': ['gniew'], 'Slovak': ['hnev'], 'Lower Sorbian': ['gniv'], 'Upper Sorbian': ['gněw']}"
